Date,Time,Plate_English,Plate_Arabic
2026-05-10,23:38:29,2 a,و ٢
2026-05-10,23:38:32,6483 RbU,ع ي ق ٦٤٨٣
2026-05-10,23:38:39,1 , ١
2026-05-10,23:38:43,175 L,س ١٧٥
2026-05-10,23:38:49,11111 DJ,ث ر ١١١١١
2026-05-10,23:39:09,11111 DJL,ث ر س ١١١١١
2026-05-10,23:39:15,1 nNJ,م ص ر ١
2026-05-10,23:39:20,22 WaW,ل و ل ٢٢
2026-05-10,23:39:24,788 AYL,ا ن س ٧٨٨
2026-05-10,23:39:45,888 RWb,ع ل ي ٨٨٨
2026-05-10,23:39:49,7546 UEb,ق ج ي ٧٥٤٦
2026-05-10,23:39:55,8 nLJ,م س ر ٨
2026-05-10,23:39:59,391 JZa,ر هـ و ٣٩١
2026-05-10,23:40:08,66483 RbU,ع ي ق ٦٦٤٨٣
2026-05-10,23:42:10,6483 RbU,ع ي ق ٦٤٨٣
2026-05-10,23:42:15,546 EEb,ج ج ي ٥٤٦
2026-05-10,23:42:20,7214 HaJa,د و ر و ٧٢١٤
2026-05-10,23:42:25,555 BRJ,ب ع ر ٥٥٥
2026-05-10,23:42:31,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,23:42:36,546 EEb,ج ج ي ٥٤٦
2026-05-10,23:42:39,766 EJZ,ج ر هـ ٧٦٦
2026-05-10,23:42:45,888 RWb,ع ل ي ٨٨٨
2026-05-10,23:42:50,22 WaW,ل و ل ٢٢
2026-05-10,23:42:56,11111 Da,ث و ١١١١١
2026-05-10,23:43:03,4391 JZa,ر هـ و ٤٣٩١
2026-05-10,23:43:11,555 BRJ,ب ع ر ٥٥٥
2026-05-10,23:43:16,123 RRR,ع ع ع ١٢٣
2026-05-10,23:43:36,9528 ETN,ج ف ص ٩٥٢٨
2026-05-10,23:43:47,1442 UAb,ق ا ي ١٤٤٢
2026-05-10,23:44:08,7 LBR,س ب ع ٧
2026-05-10,23:44:13,3 , ٣
2026-05-10,23:44:21,7214 HaJa,د و ر و ٧٢١٤
2026-05-10,23:44:32,44 , ٤٤
2026-05-10,23:44:36,1 nNJ,م ص ر ١
2026-05-10,23:44:41,22 WaW,ل و ل ٢٢
2026-05-10,23:45:17,555 BRJ,ب ع ر ٥٥٥
2026-05-10,23:45:49,1 nNJ,م ص ر ١
2026-05-10,23:45:58,11 AZn,ا هـ م ١١
2026-05-10,23:46:45,5 RJB,ع ر ب ٥
2026-05-10,23:46:49,66483 RbU,ع ي ق ٦٦٤٨٣
2026-05-10,23:47:10,6483 RbU,ع ي ق ٦٤٨٣
2026-05-10,23:47:14,546 Eb,ج ي ٥٤٦
2026-05-10,23:47:19,888 RWb,ع ل ي ٨٨٨
2026-05-10,23:47:23,22 WaW,ل و ل ٢٢
2026-05-10,23:47:27,123 RRR,ع ع ع ١٢٣
2026-05-10,23:47:31,3945 PBE,ط ب ج ٣٩٤٥
2026-05-10,23:47:36,7214 aJa,و ر و ٧٢١٤
2026-05-10,23:47:43,4391 JZa,ر هـ و ٤٣٩١
2026-05-11,00:29:48,8 nNJ,م ص ر ٨
2026-05-11,00:29:56,17 , ١٧
2026-05-11,00:30:03,8888 WYL,ل ن س ٨٨٨٨
2026-05-11,00:30:15,546 UEB,ق ج ب ٥٤٦
2026-05-11,00:30:46,123 RRR,ع ع ع ١٢٣
2026-05-11,00:30:55,4391 JZa,ر هـ و ٤٣٩١
2026-05-11,00:31:02,77566 EJZ,ج ر هـ ٧٧٥٦٦
2026-05-11,00:31:11,81941 LZ,س هـ ٨١٩٤١
2026-05-11,00:31:21,1 AZn,ا هـ م ١
2026-05-11,00:31:28,4444 EYb,ج ن ي ٤٤٤٤
2026-05-11,00:31:36,1111 , ١١١١
2026-05-11,00:31:43,3945 PBE,ط ب ج ٣٩٤٥
2026-05-11,00:31:52,666 , ٦٦٦
2026-05-11,00:32:04,888 RWb,ع ل ي ٨٨٨
2026-05-11,00:32:11,75 BRJ,ب ع ر ٧٥
